AID	CLUSTER2	GSWGT4	GSWGT4_2	GSWGT134
98576467	174	 	3239.490342793	3775.676567045
98576509	176	5453.660657741	4086.675020627	4987.257226426
98576596	178	5530.493019827	4389.085841811	5166.881290349
98576600	176	5603.306240349	4347.298526379	5438.177533567
98576631	177	 	3654.315997667	 
98576688	173	6195.12065028	4567.963576869	5767.76448645
98576930	177	 	4068.151022217	 
98576946	179	3564.028233518	2445.317302368	2959.049419684
98576952	172	6229.630058124	4591.104252765	5588.898569352
98576959	172	 	4429.782913434	 
98576964	174	 	4745.718930074	6364.489689307
98577013	195	8447.916481649	6196.433911519	7406.229653904
98577061	194	 	5591.289171192	6765.952607164
98577114	195	7971.232772559	6061.556668933	7397.344331991
98577151	192	 	3780.007715194	4574.142433464
98577161	194	5681.632001033	4257.504276885	5195.732194086
98577162	194	 	5591.289171192	 
98577165	194	5681.632001033	4257.504276885	5195.732194086
98577169	194	6900.193086083	5057.947244871	6215.076088142
98577217	195	 	5053.909863433	 
98577220	191	 	1178.710865916	1426.344016944
98577226	191	 	3114.23619398	4176.506118187
98577252	192	 	4397.128287059	 
98577259	192	 	3780.007715194	4574.142433464
98577266	194	 	4429.492484116	 
98577310	195	 	3617.629107262	 
98577324	191	1167.664408845	926.676754943	1090.894313733
98577327	191	1117.04800871	911.240064719	1046.059161091
98577328	191	1840.493367667	1309.714655228	1777.369513325
98577484	193	8938.578122535	6556.327671984	7836.389303643
98577587	193	 	4889.622511786	 
98577924	191	770.355282378	621.917437994	710.587410168
98577925	191	 	3114.23619398	4176.506118187
98577954	192	6396.3838989	4716.364752722	5955.144052296
98578043	159	6589.966086122	5222.2843072	6086.65388647
98578079	160	18526.887392509	13660.774596521	17248.852634071
98578080	153	 	1038.242070921	 
98578101	156	 	2044.062667051	2460.373426892
98578198	158	5387.988016395	4275.991640136	5033.745522277
98578207	156	7077.607657004	5036.500883499	6834.865203987
98578267	154	7053.539212394	5173.676807394	6183.78879494
98578291	158	6423.180352016	4813.180053714	5873.862463693
98578299	158	4571.473215526	3622.709513559	4222.324493107
98578308	156	 	4170.075923238	5299.84544154
98578316	155	 	2674.385254657	3219.072741701
