AID	PTNR_ID	H4TR25	H4TR26	H4TR27Y	H4TR28Y	TSDURATN	H4TR29
90572221	2	2	8	1999	2000	9	7
90572228	1	2	8	1994	1995	8	7
90572228	2	2	8	1996	2006	72	7
90572228	3	2	8	2008	9917	10	7
90572265	1	5	8	2007	2007	5	7
90572268	1	2	8	2007	9917	13	7
90572268	1	1	1	2007	9917	4	7
90572268	2	2	8	2002	2006	53	7
90572268	2	1	1	2005	2007	20	1
90572268	3	2	8	2000	2001	5	7
90572269	1	2	8	2007	9917	6	7
90572280	1	1	1	1996	9917	140	7
90572282	1	2	8	2003	2007	49	7
90572282	1	1	1	2007	9917	12	7
90572282	2	2	8	1997	1998	6	7
90572282	3	2	8	1999	2001	21	7
90572283	2	4	8	2008	9917	2	7
90572285	1	2	8	2008	9917	3	7
90572293	1	2	8	1997	2005	102	7
90572293	1	1	1	1999	2008	101	1
90572293	2	2	8	2006	2006	7	7
90572293	3	2	8	2008	9917	1	7
90572303	1	2	8	2002	9917	68	7
90572303	1	1	1	2003	9917	52	7
90572323	1	2	8	1997	1999	48	7
90572323	2	2	8	2000	2004	36	7
90572323	3	3	8	2005	2006	7	7
90572341	1	1	1	2000	2002	19	1
90572341	2	2	8	2007	2008	10	7
90572341	3	4	8	2008	9917	1	7
90572384	1	2	8	1997	2002	58	7
90572384	2	2	8	2002	2004	22	7
90572393	1	2	8	2003	9917	58	7
90572393	1	1	1	2004	9917	41	7
90572393	2	2	8	1997	2000	62	7
90572397	1	1	1	1999	2003	44	1
90572397	2	4	8	2007	9917	6	7
90572448	1	2	8	2002	9917	69	7
90572448	1	1	1	2004	9917	46	7
90572448	2	2	8	1998	2000	30	7
90572448	3	2	8	2000	2001	3	7
90572469	1	2	8	2005	2005	4	7
90572469	2	4	8	2008	9917	3	7
90572667	1	2	8	2001	9917	82	7
90572667	1	1	1	2003	9917	59	7
90572667	2	2	8	1997	2000	32	7
90572862	1	2	8	9996	9996	998	7
90572862	1	1	1	9996	9996	52	1
90572862	2	2	8	9996	9996	998	7
90572862	3	3	8	9998	9998	998	7
90572862	5	3	8	9998	9998	998	7
90572862	6	3	8	9998	9998	998	7
90572862	7	5	8	9998	9998	998	7
90572864	1	5	8	1998	2008	124	7
90572900	1	1	1	2001	9917	78	7
90572909	1	4	8	2005	9917	39	7
90572920	1	2	8	1998	9917	124	7
90572920	1	1	1	2001	9917	88	7
90572925	1	2	8	1998	9917	144	7
90572925	1	1	1	2000	9917	96	7
90572940	1	2	8	1998	1999	7	7
90572940	2	2	8	2001	2003	17	7
90572940	3	2	8	2008	9917	5	7
90572974	1	2	8	1999	9917	104	7
90572974	1	1	1	1999	9917	104	7
90572983	1	2	8	1999	9917	104	7
90572983	1	1	1	2002	9917	73	7
90572983	2	2	8	1995	1997	20	7
90572983	2	1	1	1996	1997	21	1
90572983	3	2	8	1997	1998	12	7
90572983	4	2	8	1995	1996	6	7
90572984	1	1	1	1996	9917	143	7
90572991	1	2	8	1995	9917	152	7
90572998	1	2	8	2001	9917	84	7
90572998	1	1	1	2003	9917	63	7
90573011	1	2	8	1996	2004	96	7
90573011	2	2	8	2006	2006	6	7
90573011	3	2	8	2002	2005	41	7
90573013	1	2	8	2007	2008	3	7
90573013	2	2	8	2006	2007	12	7
90573117	1	2	8	1996	2002	63	7
90573117	1	1	1	1997	2002	63	1
90573117	2	2	8	2003	2004	6	7
90573117	3	2	8	2005	9917	36	7
90573117	4	3	8	9998	9998	998	7
90573194	1	2	8	2001	9917	85	7
90573194	1	1	1	2007	9917	15	7
90573212	1	1	1	2004	9917	43	7
90573217	1	2	8	2004	9917	47	7
90573217	1	1	1	2004	9917	51	7
90573217	2	3	8	1997	2000	32	7
90573409	1	1	1	1997	1998	7	1
90573409	2	2	8	2001	9917	83	7
90573409	2	1	1	2002	9917	66	7
